1000001786330520,22,2019-10-29
1000001786939059,19,2019-10-29
1000001786942978,17,2015-04-12
1000001786942991,83,2015-04-12
1000001786947876,5,2015-10-28
1000001786948260,6,2015-04-12
1000001786948502,1,2001-11-11
1000001786948509,1,2001-11-11
1000001786948538,2,2015-05-12
1000001786948566,1,2001-11-11
1000001786948567,1,2001-11-11
1000001786948580,1,2001-11-11
1000001786948581,1,2001-11-11
1000001786948582,2,2005-02-06
1000001786948583,2,2005-02-06
1000001786948592,2,2015-05-12
1000001786948596,1,2001-11-11
1000001786948598,1,2001-11-11
1000001786948599,2,2005-02-06
1000001786948601,1,2001-11-11
1000001786948607,2,2006-11-13
1000001786948622,2,2005-02-06
1000001786948623,2,2015-05-12
1000001786948627,2,2006-11-13
1000001786948631,2,2005-02-06
1000001786948641,1,2001-11-11
1000001786948647,2,2005-02-06
1000001786948651,1,2001-11-11
1000001786948652,1,2001-11-11
1000001786948678,1,2001-11-11
1000001786948679,1,2001-11-11
1000001786948691,2,2005-02-06
1000001786948692,1,2001-11-11
1000001786948694,2,2005-02-06
1000001786948702,1,2001-11-11
1000001786948718,1,2001-11-11
1000001786948731,1,2001-11-11
1000001786948740,2,2005-02-06
1000001786948743,1,2001-11-11
1000001786948749,1,2001-11-11
1000001786948751,2,2005-02-06
1000001786948752,1,2001-11-11
1000001786948753,2,2005-02-06
1000001786948760,1,2001-11-11
1000001786948771,1,2001-11-11
1000001786948780,1,2001-11-11
1000001786948787,1,2001-11-11
1000001786948788,1,2001-11-11
1000001786948799,1,2001-11-11
1000001786948800,3,2009-08-04
1000001786948802,1,2001-11-11
1000001786948806,1,2001-11-11
1000001786948807,2,2015-04-12
1000001786948809,1,2001-11-11
1000001786948817,3,2015-05-12
1000001786948824,1,2001-11-11
1000001786948827,1,2001-11-11
1000001786948836,1,2001-11-11
1000001786948840,2,2005-02-06
1000001786948852,1,2001-11-11
1000001786948853,1,2001-11-11
1000001786948856,1,2001-11-11
1000001786948857,5,2015-04-12
1000001786948860,2,2015-05-12
1000001786948868,2,2008-04-11
1000001786948870,2,2006-11-13
1000001786948874,1,2001-11-11
1000001786948879,2,2005-02-06
1000001786948883,1,2001-11-11
1000001786948888,4,2009-08-04
1000001786948892,4,2006-11-13
1000001786948893,3,2015-05-12
1000001786948896,2,2005-02-06
1000001786948899,1,2001-11-11
1000001786948906,1,2001-11-11
1000001786948908,2,2005-02-06
1000001786948911,1,2001-11-11
1000001786948912,1,2001-11-11
1000001786948924,1,2001-11-11
1000001786948930,2,2005-02-06
1000001786948937,1,2001-11-11
1000001786948938,1,2001-11-11
1000001786948940,1,2001-11-11
1000001786948941,1,2001-11-11
1000001786948942,1,2001-11-11
1000001786948952,1,2001-11-11
1000001786948953,1,2001-11-11
1000001786948958,1,2001-11-11
1000001786948959,1,2001-11-11
1000001786948963,1,2001-11-11
1000001786948965,1,2001-11-11
1000001786948966,1,2001-11-11
1000001786948969,2,2001-11-11
1000001786948977,1,2001-11-11
1000001786948981,2,2015-05-12
1000001786948982,1,2001-11-11
1000001786948988,1,2001-11-11
1000001786948989,1,2001-11-11
1000001786948994,1,2001-11-11
1000001786948995,1,2001-11-11
1000001786949000,2,2005-02-06
1000001786949005,1,2001-11-11
1000001786949007,1,2001-11-11
1000001786949008,1,2001-11-11
1000001786949015,3,2015-05-12
1000001786949018,1,2001-11-11
1000001786949036,2,2015-05-12
1000001786949038,1,2001-11-11
1000001786949042,1,2001-11-11
